,Plant_ID,Boiler_ID,Fuel,Coal_Consumption,Plant_Boiler,Coal,Share_Selenium,Share_Arsenic,Share_Lead,Share_Mercury,Share_Chloride,Share_Boron,Share_Bromide,Share_Heat
5226,10864,4,SUB,136197,10864_4,136197,180.85024399645184,300.8118219570686,678.3164658700583,12.984247191931145,21043.908485169883,10482.35605085057,5783.082687891978,2541503413.078675
5227,10864,5,BIT,177008,10864_5,177008,235.04144723689913,390.9491323669156,881.5718480636672,16.87493576913844,27349.649060867352,13623.36086587045,7515.96511243554,3303056867.2014074
5230,10864,5,SUB,325394,10864_5,325394,432.0769495288549,718.6822176251928,1620.594492502197,31.021212881129856,50276.889781884835,25043.839180088184,13816.606886670941,6072013051.648145
5231,10865,CFB1,BIT,118922,10865_CFB1,118922,206.4960639196512,318.53815740566006,779.4653660702955,10.024948647174572,25727.718169984724,12990.465869633153,2647.3949668883824,2519483702.778308
5233,10865,CFB1,SUB,39782,10865_CFB1,39782,69.07743239141256,106.55795376727578,260.74814746647803,3.3535637399463414,8606.482267690859,4345.593861739176,885.6112962509344,842822191.5535111
5236,10865,CFB2,BIT,124945,10865_CFB2,124945,216.9543962129868,334.6710455344696,818.9426696797319,10.532678635754753,27030.740710286922,13648.389348323393,2781.476632901136,2647087092.7468066
5238,10865,CFB2,SUB,41856,10865_CFB2,41856,72.67872430181902,112.1132600895655,274.34202554816005,3.5283988713285925,9055.173741804549,4572.147621460834,931.7818715971824,886761994.1094908
5241,10865,CFB3,BIT,121338,10865_CFB3,121338,210.69120435144578,325.0095267762734,795.3008576061412,10.228613872545603,26250.398305692863,13254.37806032145,2701.1790122290454,2570669123.6921206
5243,10865,CFB3,SUB,44189,10865_CFB3,44189,76.72974360122993,118.36231006541021,289.6334997837262,3.7250673195035167,9559.897564903507,4826.993292353135,983.7182034596686,936188975.4803203
5246,10865,CFB4,BIT,114158,10865_CFB4,114158,198.2238582006655,305.7775598553282,748.2400839193151,9.623350495822091,24697.06909444103,12470.069480378583,2541.340665562671,2418553510.2148137
5248,10865,CFB4,SUB,37443,10865_CFB4,37443,65.01599469688955,100.29283250988152,245.4173466790844,3.1563895006488076,8100.460397897261,4090.0927797772847,833.5413947394233,793268094.0711406
5251,10865,CFB5,BIT,116570,10865_CFB5,116570,202.4120530357187,312.23821503824183,764.0493577539426,9.826678527111383,25218.883865686075,12733.544730353819,2595.0356644706503,2469654187.0542655
5253,10865,CFB5,SUB,40091,10865_CFB5,40091,69.6139797396843,107.38562476707689,262.7734648855907,3.3796119827607654,8673.331672464788,4379.347531823068,892.4901331757129,849368671.2978687
5256,10865,CFB6,BIT,116404,10865_CFB6,116404,202.12381077095137,311.7935762487047,762.9613231533835,9.812684972719168,25182.971240467716,12715.411690761825,2591.3402375142973,2466137307.9683
