,Plant_ID,Boiler_ID,Fuel,Coal_Consumption,Plant_Boiler,Coal,Share_Selenium,Share_Arsenic,Share_Lead,Share_Mercury,Share_Chloride,Share_Boron,Share_Bromide,Share_Heat
792,889,3,SUB,2285290,889_3,2285290,2989.1575294909376,11055.454891684929,12236.131362211107,307.621841830869,233510.95059379755,114445.03637645012,172281.32519881494,37510750060.0
793,891,9,BIT,0,891_9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795,891,9,SUB,1294154,891_9,1294154,1692.752418039205,6260.676399885187,6929.290526336242,174.2054781199701,132236.66613636145,64809.93729755454,97562.48271831899,21242243756.0
797,892,1,SUB,271255,892_1,271255,354.8013274735654,1312.2393292072322,1452.3810162633947,36.51351150437467,27716.83808327195,13584.178962973618,20449.1206222425,4452379570.0
799,892,2,SUB,687760,892_2,687760,899.5895411447506,3327.1487016112737,3682.4743055254735,92.57905908554208,70275.32233562927,34442.33257847684,51848.21367036,11288892640.0
801,898,4,SUB,225604,898_4,225604,295.0898552408112,1091.3953351144437,1207.9518047338738,30.3684512706971,23052.21853583707,11298.022564607842,17007.625329894,3703064056.0
803,898,5,SUB,1132090,898_5,1132090,1480.7728330152388,5476.665949760246,6061.551030217422,152.3901171922638,115676.96531194387,56693.934350308016,85344.952038615,18582125260.0
804,963,31,BIT,106920,963_31,106920,244.49975791842863,848.2319456490002,3381.0803871287144,8.35622437023,52486.8336508187,11435.16153143571,843.2851384187999,2542847811.428571
806,963,32,BIT,81859,963_32,81859,187.19141118073932,649.4146917216751,2588.588284792082,6.3976072832272495,40184.43430436184,8754.871752729105,645.62736761901,1946829208.7142854
808,963,33,BIT,415485,963_33,415485,950.1120643353752,3296.1807887951254,13138.684854528376,32.47180960030875,203960.83127020582,44436.38317329373,3276.9577790491494,9881361044.999998
810,963,41,BIT,459006,963_41,459006,1049.633893407279,3641.4473666719505,14514.928770804363,35.8731493011765,225325.21106180028,49090.981611468196,3620.2107954083394,10916408553.42857
820,976,123,BIT,0,976_123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823,976,4,BIT,969348,976_4,969348,2097.75527630243,6862.205409655449,23455.66882241384,72.74394936500019,475851.17120981857,88504.14793633895,6095.291525444137,22893166954.683056
826,983,1,BIT,491328,983_1,491328,1091.3613607165469,6304.534696374817,10480.749213434754,41.7280610714215,333408.0044508762,32990.183036724375,3885.8111282367345,11221544164.984955
828,983,1,SUB,0,983_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829,983,2,BIT,379295,983_2,379295,842.5082782031202,4866.969697760938,8090.920470459113,32.21319551111441,257384.0470076916,25467.735351769836,2999.765394776101,8662798769.982513
831,983,2,SUB,0,983_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832,983,3,BIT,420777,983_3,420777,934.6500897124251,5399.251001238493,8975.792569895131,35.736225807300876,285533.12632055645,28253.04124259918,3327.837919080672,9610214946.247463
834,983,3,SUB,0,983_3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835,983,4,BIT,366385,983_4,366385,813.8319659089896,4701.313470291307,7815.531173807094,31.116760403748145,248623.50957147626,24600.894335169698,2897.66288552457,8367944548.016829
837,983,4,SUB,0,983_4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838,983,5,BIT,471328,983_5,471328,1046.9363997651437,6047.902275817682,10054.11978407454,40.029478410900566,319836.2965713791,31647.284482735,3727.635281216547,10764759932.660114
840,983,5,SUB,0,983_5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841,983,6,BIT,349437,983_6,349437,776.1862539987706,4483.8431571111905,7454.00539536725,29.677381457222705,237122.84431439044,23462.922100519114,2763.624672759663,7980865589.544759
843,983,6,SUB,0,983_6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844,988,U1,BIT,0,988_U1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846,988,U2,BIT,45166,988_U2,45166,149.95535668020295,775.5505796197637,405.731309276621,6.962235790139897,30324.50248962975,1414.183886153113,669.1044027235458,1117133831.6170027
848,988,U3,BIT,115758,988_U3,115758,384.3274183807938,1987.69392896481,1039.867265182728,17.84383143503995,77720.0495769951,3624.4763382480637,1714.8781705369572,2863153214.371895
850,988,U4,BIT,118223,988_U4,118223,392.5114496037646,2030.020727414146,1062.0106402295967,18.223805557669685,79375.05331070934,3701.657476258236,1751.395514395469,2924122414.5431724
852,988,U4,SUB,238742,988_U4,238742,792.6458345778907,4099.466334844388,2144.6465093060947,36.80153427378071,160291.6435677099,7475.204564228989,3536.8047494802454,5905033990.787461
853,990,50,BIT,156188,990_50,156188,437.48643205317234,1558.1026247841344,1871.1569210301782,14.642250129348723,76672.4052960538,15502.8641845224,381.63454010939705,3655012056.1468005
856,990,60,BIT,137194,990_60,137194,384.2837705784242,1368.6219908356247,1643.6057995736821,12.86160821731419,67348.28522157147,13617.563122207635,335.22401910369956,3210526570.741697
859,990,70,BIT,1043627,990_70,1043627,2923.224912441135,10411.03009191226,12502.816375291071,97.8375264152292,512314.59729239595,103588.03262927088,2550.03015718717,24422294075.85933
861,991,3,BIT,6596,991_3,6596,18.0112147026,182.705123672,168.144562506,0.421258975104,3237.964410407783,777.8929938,13.443586610800002,128894634.66666666
863,991,4,BIT,25470,991_4,25470,69.5490658695,705.50325954,649.278654795,1.6266625372800003,12503.176703014893,3003.7802535,51.91148438100001,497717759.99999994
865,991,5,BIT,31677,991_5,31677,86.49806672745,877.433323614,807.5068687845,2.0230777068480004,15550.181720510509,3735.7969018500003,64.56223363710002,619010816.0
867,991,6,BIT,60105,991_6,60105,164.12432681925,1664.87135511,1532.1905593425001,3.83865535152,29505.435246749512,7088.42607525,122.50254294150002,1174531840.0
879,994,1,BIT,692683,994_1,692683,1888.5144101719488,12124.15945763206,11698.647234350352,61.76709376676628,340036.82560559345,63860.772894187554,1329.9993754044121,15055750441.297571
881,994,2,BIT,1125613,994_2,1125613,3068.844436454883,19701.81381610866,19010.354533601665,100.37180602972946,552561.3756659091,103774.04405730346,2161.2549852487887,24465662390.271282
883,994,3,BIT,937157,994_3,937157,2555.0424928769917,16403.233376358432,15827.54181379083,83.5670346943427,460048.6678236093,86399.6522842312,1799.4064018546328,20369493572.55066
885,994,4,BIT,1418796,994_4,1418796,3868.171575012409,24833.450426602845,23961.890073103194,126.51516720911722,696484.3774452579,130803.56979914581,2724.1866681097677,30838115708.211735
